#Emin	Emax Emean	flux	stat ana had	
#(103GeV)  (103GeV)  (103GeV)[GeV-1 m-2 s-1 sr-1]
0.07	0.09	0.08	5.261	0.025	0.295	0.684	1e-2
0.09	0.13	0.11	2.369	0.010	0.133	0.308	1e-2
0.13	0.17	0.15	1.066	0.004	0.060	0.139	1e-2
0.17	0.23	0.20	4.658	0.015	0.261	0.606	1e-3
0.23	0.32	0.27	2.022	0.007	0.113	0.263	1e-3
0.32	0.43	0.37	8.846	0.031	0.495	1.207	1e-4
0.43	0.58	0.50	3.894	0.014	0.218	0.467	1e-4
0.58	0.79	0.68	1.727	0.007	0.097	0.207	1e-4
0.79	1.08	0.92	7.674	0.034	0.430	0.921	1e-5
1.08	1.47	1.25	3.422	0.017	0.192	0.411	1e-5
1.47	1.99	1.70	1.549	0.009	0.087	0.186	1e-5
1.99	2.71	2.32	7.161	0.048	0.401	1.074	1e-6
2.71	3.68	3.15	3.348	0.027	0.187	0.502	1e-6
3.68	5.01	4.28	1.548	0.015	0.087	0.232	1e-6
5.01	6.80	5.82	7.021	0.084	0.393	1.053	1e-7
6.80	9.25	7.91	3.227	0.048	0.181	0.484	1e-7
9.25	12.6	10.8	1.552	0.028	0.087	0.233	1e-7
12.6	17.1	14.6	7.451	0.158	0.417	1.118	1e-8
17.1	23.2	19.9	3.504	0.091	0.196	0.526	1e-8
23.2	31.6	27.0	1.654	0.051	0.093	0.248	1e-8
31.6	42.9	36.7	7.416	0.286	0.415	1.112	1e-9
42.9	58.3	49.9	3.104	0.160	0.174	0.466	1e-9
58.3	79.3	67.8	1.299	0.089	0.073	0.195	1e-9
